"Model","AIC","BIC"
"Annex: ARIMA(3,1,4)",-770.173576452741,-745.134386733356
"Annex: ARIMA(4,1,4)",-769.102897119677,-740.93380868537
"Annex: ARIMA(3,1,5)",-768.544190195525,-740.375101761217
"Cand A: ARIMA 1,1,4",-766.938599538305,-748.159207248766
"Cand B: SARIMA",-766.938599538305,-748.159207248766
"Annex: ARIMA(1,1,3)",-756.457349229651,-740.807855655035
"Annex: ARIMA(0,1,4)",-755.517550178622,-739.868056604007
"Annex: ARIMA(3,1,3)",-755.215711525928,-733.306420521467
"Annex: ARIMA(2,1,4)",-753.260088301806,-731.350797297344
"Cand C: SARIMA(3,1,0)(0,0,1)[12]",-751.352634544299,-735.703140969684
