"Model","AIC","BIC"
"Manual Choice: ARIMA(3,1,4)",-770.173576452741,-745.134386733356
"Benchmark: Auto-ARIMA",-766.938599538305,-748.159207248766
"Benchmark: Auto-SARIMA",-766.938599538305,-748.159207248766
"Annex: SARIMA(1,1,4)(0,0,1)[12]",-764.939840510652,-743.030549506191
"Annex: ARIMA(1,1,3)",-756.457349229651,-740.807855655035
"Annex: ARIMA(0,1,4)",-755.517550178622,-739.868056604007
"Annex: SARIMA(3,1,1)(0,0,1)[12]",-753.943787629286,-735.164395339748
"Annex: ARIMA(2,1,4)",-753.260088301806,-731.350797297344
"Annex: ARIMA(3,1,0)",-752.032977060976,-739.513382201284
"Manual Choice: SARIMA(3,1,0)(0,0,1)[12]",-751.352634544299,-735.703140969684
"Annex: SARIMA(2,1,0)(0,0,1)[12]",-718.486431236305,-705.966836376613
