date,original,seasonally_adjusted
2011-01-01,1067,1057.9764955498601
2011-02-01,1068,1072.6612816584775
2011-03-01,1128,1130.287241759659
2011-04-01,1100,1107.858476642096
2011-05-01,1096,1096.8305398019413
2011-06-01,986,984.3428266973606
2011-07-01,1035,1034.2477247975953
2011-08-01,1063,1065.6139777045248
2011-09-01,1152,1155.3586596143616
2011-10-01,1063,1068.3102700769587
2011-11-01,1032,1028.570080270293
2011-12-01,1027,1016.553953289932
2012-01-01,1012,1003.4416246452281
2012-02-01,1009,1013.4037763983181
2012-03-01,1009,1011.0459458648014
2012-04-01,1013,1020.2369425804029
2012-05-01,1013,1013.7676430833637
2012-06-01,1014,1012.2957670092533
2012-07-01,1038,1037.2455442897622
2012-08-01,1038,1040.5525012768549
2012-09-01,1038,1041.0262922566903
2012-10-01,1029,1034.1404213633025
2012-11-01,1005,1001.659816542291
2012-12-01,982,972.0116671185133
2013-01-01,955,946.9236675258823
2013-02-01,1001,1005.3688604308388
2013-03-01,1097,1099.2243831652004
2013-04-01,1097,1104.8370444330722
2013-05-01,1034,1034.7835567109557
2013-06-01,1026,1024.275598571493
2013-07-01,1025,1024.2549931570388
2013-08-01,1000,1002.4590571067966
2013-09-01,999,1001.9125876343292
2013-10-01,999,1003.9905548512528
2013-11-01,1025,1021.5933452296997
2013-12-01,1039,1028.431896268977
2014-01-01,1070,1060.951124871931
2014-02-01,968,972.224832064987
2014-03-01,954,955.9344225520521
2014-04-01,955,961.8225865392742
2014-05-01,1036,1036.785072294536
2014-06-01,1069,1067.203328336185
2014-07-01,1046,1045.2397296022075
2014-08-01,965,967.3729901080587
2014-09-01,933,935.7201644272563
2014-10-01,960,964.7957283855882
2014-11-01,995,991.6930521985865
2014-12-01,1043,1032.3912105953252
2015-01-01,1045,1036.1625471880072
2015-02-01,1036,1040.5216177885604
2015-03-01,991,993.0094473260834
2015-04-01,974,980.9583238630922
2015-05-01,982,982.7441515378708
2015-06-01,1039,1037.253749430586
2015-07-01,1045,1044.2404564381518
2015-08-01,1063,1065.6139777045248
2015-09-01,1042,1045.0379542692403
2015-10-01,1069,1074.3402433793685
2015-11-01,1105,1101.327459979335
2015-12-01,1107,1095.7402398168983
2016-01-01,1121,1111.5198233471351
2016-02-01,1113,1117.857683975548
2016-03-01,1146,1148.323740298377
2016-04-01,1112,1119.9442054781916
2016-05-01,1146,1146.868429391446
2016-06-01,1128,1126.1041668505302
2016-07-01,1129,1128.1794022188262
2016-08-01,1130,1132.7787345306801
2016-09-01,1125,1128.27994102965
2016-10-01,1184,1189.9147316755589
2016-11-01,1245,1240.8621607911962
2016-12-01,1281,1267.9704130130506
2017-01-01,1258,1247.3612290550366
2017-02-01,1258,1263.4905358861092
2017-03-01,1253,1255.5407038340893
2017-04-01,1263,1272.0229599990612
2017-05-01,1258,1258.9533020719364
2017-06-01,1296,1293.8218087218859
2017-07-01,1305,1304.0514790926202
2017-08-01,1314,1317.2312010383307
2017-09-01,1283,1286.7405905253697
2017-10-01,1334,1340.664064235807
2017-11-01,1385,1380.3968616030577
2017-12-01,1430,1415.4548716695256
2018-01-01,1448,1435.7544194528562
2018-02-01,1469,1475.4114445283737
2018-03-01,1504,1507.0496556795454
2018-04-01,1495,1505.6803841635758
2018-05-01,1505,1506.1404766440892
2018-06-01,1508,1505.4654996547868
2018-07-01,1553,1551.8712237784207
2018-08-01,1588,1591.904982685593
2018-09-01,1635,1639.7668476297579
2018-10-01,1667,1675.3275825195578
2018-11-01,1713,1707.3067320765617
2018-12-01,1782,1763.8745323881778
2019-01-01,1803,1787.7522225645714
2019-02-01,1812,1819.908466634046
2019-03-01,1796,1799.6417430854146
2019-04-01,1815,1827.9664864594583
2019-05-01,1835,1836.3905479348198
2019-06-01,1851,1847.8890184754712
2019-07-01,1854,1852.6524461591707
2019-08-01,1912,1916.701717188195
2019-09-01,1927,1932.6181745458982
2019-10-01,1906,1915.5215190655533
2019-11-01,1936,1929.5655769411694
2019-12-01,1910,1890.5725908313243
2020-01-01,1906,1889.881162622337
2020-02-01,1855,1863.0961399592468
2020-03-01,1889,1892.8303188687908
2020-04-01,1958,1971.9880884229308
2020-05-01,1965,1966.4890608675319
2020-06-01,1943,1939.7343937859753
2020-07-01,1928,1926.5986602992887
2020-08-01,1927,1931.738603044797
2020-09-01,1972,1977.7493721870842
2020-10-01,1951,1960.7463188336278
2020-11-01,1982,1975.4126929222095
2020-12-01,2023,2002.4232205506644
2021-01-01,2060,2042.5788011553063
2021-02-01,2000,2008.728991869808
2021-03-01,1984,1988.0229500453577
2021-04-01,2015,2029.395300394385
2021-05-01,2080,2081.5762069233924
2021-06-01,2074,2070.5142216737586
2021-07-01,2076,2074.4910885795243
2021-08-01,2081,2086.1172978392437
2021-09-01,2104,2110.13421860123
2021-10-01,2092,2102.450691440261
2021-11-01,2088,2081.060394965476
2021-12-01,2116,2094.4772786382628
2022-01-01,2147,2128.8430514953607
2022-02-01,2208,2217.636807024268
2022-03-01,2261,2265.5846220022954
2022-04-01,2307,2323.4813687393776
2022-05-01,2350,2351.7808107067176
2022-06-01,2342,2338.063793230445
2022-07-01,2327,2325.308652757492
2022-08-01,2336,2341.744357401477
2022-09-01,2434,2441.096334636594
2022-10-01,2486,2498.418938298513
2022-11-01,2617,2608.302228747438
2022-12-01,2646,2619.0864268794157
2023-01-01,2667,2644.4454673209716
2023-02-01,2575,2586.2385770323776
2023-03-01,2500,2505.069241488606
2023-04-01,2390,2407.0743265223723
2023-05-01,2408,2409.824762630543
2023-06-01,2455,2450.8738737748686
2023-07-01,2502,2500.1814564672304
2023-08-01,2537,2543.238627879943
2023-09-01,2520,2527.3470679064158
2023-10-01,2482,2494.398956096906
2023-11-01,2328,2320.2627392143813
2023-12-01,2344,2320.1581952401175
2024-01-01,2359,2339.0501902550327
2024-02-01,2403,2413.487883731574
2024-03-01,2427,2431.9212196371386
2024-04-01,2459,2476.567267329922
2024-05-01,2577,2578.9528294430684
2024-06-01,2605,2600.6217683028644
2024-07-01,2635,2633.0847872866316
2024-08-01,2599,2605.391089420564
2024-09-01,2597,2604.571561648001
2024-10-01,2606,2619.0184043467116
2024-11-01,2655,2646.175933253515
2024-12-01,2665,2637.8931699295704
2025-01-01,2688,2665.2678725754677
2025-02-01,2721,2732.8757934388736
2025-03-01,2800,2805.6775504672387
2025-04-01,2809,2829.067691716043
2025-05-01,2809,2811.12863713837
2025-06-01,2836,2831.2335258759786
2025-07-01,2974,2971.838389901496
2025-08-01,3082,3089.5788140031473
2025-09-01,3093,3102.0176512041844
2025-10-01,3116,3131.566135051555
2025-11-01,3081,3070.760094295322
2025-12-01,3118,3086.2855173885177
2026-01-01,3090,3063.8682017329593
2026-02-01,3159,3172.7874426583617
