Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,1098.4805321637057,1092.190068708524,1085.935627676428,1079.7023512659189,1073.504853895916,1067.4795864142823,1061.4881369895427,1055.398081359766,1049.3429660899246,1042.1554340265561,1035.0171333573373,1030.628344391098
2012,1026.2581652313731,1024.4419500774316,1022.6289491609947,1021.911900304869,1021.1953542303852,1020.1123697742256,1019.0305338302762,1017.3504776880717,1015.6731914222805,1014.9669939595623,1014.2612875158653,1014.5221206494722
2013,1014.7830208603928,1013.2145993115752,1011.6486018732375,1010.882247021424,1010.1164727069205,1011.9253660625716,1013.7374987428548,1013.1424002711314,1012.5476511424988,1009.0597548950112,1005.5838733119402,1003.7798328236184
2014,1001.9790288252304,1000.0885293823123,998.2015968684816,995.8469619826071,993.4978813910396,993.532075696266,993.5662711783962,996.0625899436668,998.5651806684026,1000.5661283599303,1002.5710855960945,1004.6038701210891
2015,1006.6407762619816,1012.1096112975417,1017.6081571866164,1024.4530608606344,1031.3440065263326,1038.172505318737,1045.0462154038466,1054.0187940717324,1063.0684096847451,1073.9652057702976,1084.9736975509225,1094.1949247662083
2016,1103.4945234955194,1110.9485179779101,1118.4528634430735,1126.8879862290048,1135.386724835271,1146.1643696895558,1157.0443212082266,1168.918945622215,1180.9154380600885,1193.1730966525636,1205.5579872121432,1219.315426475712
2017,1233.2298612028742,1246.8853535806973,1260.6920525404778,1272.4321730366569,1284.2816227135706,1297.3117344639027,1310.4740476015509,1327.6480067602374,1345.0470332323314,1364.9206794919373,1385.0879673907536,1406.2433976869838
2018,1427.721949865403,1450.9509302981423,1474.5578453364215,1500.1005724039564,1526.0857581434996,1552.8564205262164,1580.0966950264615,1607.9594390567956,1636.3135027053158,1664.7492905409395,1693.679234312144,1721.3159288096947
2019,1749.4035864337202,1774.1947039806275,1799.3371409794859,1819.166650038762,1839.2146892559388,1852.4357545202904,1865.751858481182,1874.3118200235006,1882.9110541739494,1891.1633163040183,1899.451745745396,1906.3025504115155
2020,1913.1780640625734,1917.637123768405,1922.1065762410333,1926.8844168549924,1931.6741338972486,1939.8047742474694,1947.969637405432,1957.1519516548742,1966.3775493792516,1975.276381286523,1984.2154848137275,1994.7570488913218
2021,2005.3546172557756,2017.419328267283,2029.5566235741278,2040.2963732218154,2051.092954110947,2061.3268646844886,2071.6118372664196,2086.2424858821414,2100.976462676949,2121.632015851519,2142.490642161142,2165.439733287098
2022,2188.6346414883506,2214.5375318341744,2240.7469876137843,2272.627736999314,2304.962077168188,2340.3219333394227,2376.224236365137,2402.634808380822,2429.3389210074984,2442.539655053835,2455.8121202933185,2465.9286064381777
2023,2476.0867664924835,2486.045474410441,2496.0442357969364,2495.898552355787,2495.7528774175576,2484.9593275598518,2474.2124572911325,2465.8707639881272,2457.55719431976,2459.3413542805774,2461.1268095222445,2468.676639140803
2024,2476.2496288529615,2483.766260634719,2491.305709079502,2505.615365862462,2520.0072149980083,2543.500388523532,2567.2125809467084,2591.8736683523093,2616.7716544224522,2640.5965110403895,2664.6382852452725,2689.8436585156787
2025,2715.287454706456,2749.0493518142994,2783.2310445111307,2823.0289391385986,2863.395910638036,2898.5849441084356,2934.206424964815,2970.0752003330344,3006.3824482761424,3043.3845660208676,3080.8421004469924,3118.0220900935537
2026,3155.6507725276924,3192.802297767684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
