date,original,seasonally_adjusted
2011-01-01,1067,1061.7984144908232
2011-02-01,1068,1075.8392068653789
2011-03-01,1128,1120.2441884006162
2011-04-01,1100,1108.2994293077973
2011-05-01,1096,1093.657288424385
2011-06-01,986,990.2010155376363
2011-07-01,1035,1032.7411546556427
2011-08-01,1063,1070.0650821089282
2011-09-01,1152,1154.2004234835733
2011-10-01,1063,1071.560109155947
2011-11-01,1032,1026.3816920369284
2011-12-01,1027,1012.0119947527517
2012-01-01,1012,1006.7984144908232
2012-02-01,1009,1016.8392068653787
2012-03-01,1009,1001.2441884006162
2012-04-01,1013,1021.2994293077973
2012-05-01,1013,1010.657288424385
2012-06-01,1014,1018.2010155376363
2012-07-01,1038,1035.7411546556427
2012-08-01,1038,1045.0650821089282
2012-09-01,1038,1040.2004234835733
2012-10-01,1029,1037.560109155947
2012-11-01,1005,999.3816920369284
2012-12-01,982,967.0119947527517
2013-01-01,955,949.7984144908232
2013-02-01,1001,1008.8392068653787
2013-03-01,1097,1089.2441884006162
2013-04-01,1097,1105.2994293077973
2013-05-01,1034,1031.657288424385
2013-06-01,1026,1030.2010155376363
2013-07-01,1025,1022.7411546556428
2013-08-01,1000,1007.0650821089282
2013-09-01,999,1001.2004234835732
2013-10-01,999,1007.560109155947
2013-11-01,1025,1019.3816920369284
2013-12-01,1039,1024.0119947527517
2014-01-01,1070,1064.7984144908232
2014-02-01,968,975.8392068653787
2014-03-01,954,946.2441884006162
2014-04-01,955,963.2994293077973
2014-05-01,1036,1033.657288424385
2014-06-01,1069,1073.2010155376363
2014-07-01,1046,1043.7411546556427
2014-08-01,965,972.0650821089282
2014-09-01,933,935.2004234835732
2014-10-01,960,968.560109155947
2014-11-01,995,989.3816920369284
2014-12-01,1043,1028.0119947527517
2015-01-01,1045,1039.7984144908232
2015-02-01,1036,1043.8392068653789
2015-03-01,991,983.2441884006162
2015-04-01,974,982.2994293077973
2015-05-01,982,979.657288424385
2015-06-01,1039,1043.2010155376363
2015-07-01,1045,1042.7411546556427
2015-08-01,1063,1070.0650821089282
2015-09-01,1042,1044.2004234835733
2015-10-01,1069,1077.560109155947
2015-11-01,1105,1099.3816920369284
2015-12-01,1107,1092.0119947527517
2016-01-01,1121,1115.7984144908232
2016-02-01,1113,1120.8392068653789
2016-03-01,1146,1138.2441884006162
2016-04-01,1112,1120.2994293077973
2016-05-01,1146,1143.657288424385
2016-06-01,1128,1132.2010155376363
2016-07-01,1129,1126.7411546556427
2016-08-01,1130,1137.0650821089282
2016-09-01,1125,1127.2004234835733
2016-10-01,1184,1192.560109155947
2016-11-01,1245,1239.3816920369284
2016-12-01,1281,1266.0119947527517
2017-01-01,1258,1252.7984144908232
2017-02-01,1258,1265.8392068653789
2017-03-01,1253,1245.2441884006162
2017-04-01,1263,1271.2994293077973
2017-05-01,1258,1255.657288424385
2017-06-01,1296,1300.2010155376363
2017-07-01,1305,1302.7411546556427
2017-08-01,1314,1321.0650821089282
2017-09-01,1283,1285.2004234835733
2017-10-01,1334,1342.560109155947
2017-11-01,1385,1379.3816920369284
2017-12-01,1430,1415.0119947527517
2018-01-01,1448,1442.7984144908232
2018-02-01,1469,1476.8392068653789
2018-03-01,1504,1496.2441884006162
2018-04-01,1495,1503.2994293077973
2018-05-01,1505,1502.657288424385
2018-06-01,1508,1512.2010155376363
2018-07-01,1553,1550.7411546556427
2018-08-01,1588,1595.0650821089282
2018-09-01,1635,1637.2004234835733
2018-10-01,1667,1675.560109155947
2018-11-01,1713,1707.3816920369284
2018-12-01,1782,1767.0119947527517
2019-01-01,1803,1797.7984144908232
2019-02-01,1812,1819.8392068653789
2019-03-01,1796,1788.2441884006162
2019-04-01,1815,1823.2994293077973
2019-05-01,1835,1832.657288424385
2019-06-01,1851,1855.2010155376363
2019-07-01,1854,1851.7411546556427
2019-08-01,1912,1919.0650821089282
2019-09-01,1927,1929.2004234835733
2019-10-01,1906,1914.560109155947
2019-11-01,1936,1930.3816920369284
2019-12-01,1910,1895.0119947527517
2020-01-01,1906,1900.7984144908232
2020-02-01,1855,1862.8392068653789
2020-03-01,1889,1881.2441884006162
2020-04-01,1958,1966.2994293077973
2020-05-01,1965,1962.657288424385
2020-06-01,1943,1947.2010155376363
2020-07-01,1928,1925.7411546556427
2020-08-01,1927,1934.0650821089282
2020-09-01,1972,1974.2004234835733
2020-10-01,1951,1959.560109155947
2020-11-01,1982,1976.3816920369284
2020-12-01,2023,2008.0119947527517
2021-01-01,2060,2054.7984144908232
2021-02-01,2000,2007.8392068653789
2021-03-01,1984,1976.2441884006162
2021-04-01,2015,2023.2994293077973
2021-05-01,2080,2077.657288424385
2021-06-01,2074,2078.2010155376365
2021-07-01,2076,2073.7411546556427
2021-08-01,2081,2088.0650821089284
2021-09-01,2104,2106.200423483573
2021-10-01,2092,2100.560109155947
